Table,Element
DHIS,PLC AVN
DHIS,PLC BRAIN CANCER
DHIS,PLC BREAST CANCER
DHIS,PLC BRONCHUS CANCER
DHIS,PLC BURKITTS LYMPHOMAS
DHIS,PLC CANCER OF THE ANUS
DHIS,PLC CANCER OF THE BLADDER
DHIS,PLC CANCER OF THE EYE
DHIS,PLC CANCER OF THE LIVER
DHIS,PLC CANCER OF THE OVARY
DHIS,PLC CANCER OF THE PANCREAS
DHIS,PLC CANCER OF THE RECTUM
DHIS,PLC CANCER OF THE THYROID GLAND
DHIS,PLC CANCER OF THE VAGINA
DHIS,PLC CANCER OF THE VULVA
DHIS,PLC CERVICAL CANCER
DHIS,PLC COLON CANCER
DHIS,PLC DERMATOFIBROSARCOMA
DHIS,PLC ENCEPHALOPATHY
DHIS,PLC FEMALES MORPHINE
DHIS,PLC GASTRICSTOMACH CANCERS
DHIS,PLC HODGIKINS AND NON HODGIKINS LYMPHAS
DHIS,PLC KAPOSI SARCOMA
DHIS,PLC KIDNEY CANCER
DHIS,PLC LARYPHARYNGEAL CANCER
DHIS,PLC LEUKEMIA
DHIS,PLC LUNGS CANCER
DHIS,PLC MALES MORPHINE
DHIS,PLC MARKELS CARCINOMA
DHIS,PLC MAXILLARY CANCER
DHIS,PLC MELANOM
DHIS,PLC NASOPHARYNGEAL CANCER
DHIS,PLC OESOPHAGUS CANCERS
DHIS,PLC OROPHARYNGEAL CANCER
DHIS,PLC OVARY CANCER
DHIS,PLC PARAPLEGIA
DHIS,PLC PARTLY DIFFERENTIATED CARCINOMA
DHIS,PLC PENILE CANCER
DHIS,PLC PROSTATE CANCER
DHIS,PLC RHEUMATOID ARTHRITIS
DHIS,PLC SEQUAMOUS CELL CANCER
DHIS,PLC TONQUE CANCER
DHIS,PLC TRECHEA CANCER
DHIS,PNEUMONIA ADMISSION
DHIS,PNEUMONIA INPATIENT DEATH
DHIS,PNEUMONIA NEW
DHIS,PNEUMONIA UNDER 5 YEARS ADMISSION
DHIS,PNEUMONIA UNDER 5 YEARS INPATIENT DEATH
DHIS,PNEUMONIA UNDER 5 YEARS NEW
DHIS,POPULATION GENDER AND LOCATION
DHIS,POSTNATAL FIRST VISIT WITHIN 2 WEEKS OF DELIVERY
DHIS,POSTNATAL WOMAN RECEIVING VITAMIN A WITHIN 2 WEEKS OF DELIVERY
DHIS,POSTPONED CRYO DONE HIV+
DHIS,"PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM "
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  ADMISSIONS
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  DEFAULT  LOST TO FOLLOW UP  F
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  DIED H
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  MODERATE ADMISSIONS
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  MODERATE DEFAULT  LOST TO FOLLOW UP  F
DHIS,"PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  MODERATE NON RECOVERED  TREATMENT FAILURE "
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  MODERATE RECOVERED  TRANSITIONED  E
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  MODERATE TOTAL AT START DATE
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  MODERATE TOTAL AT THE END OF THE MONTH
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  MODERATE TOTAL WHO RECEIVED SUPPLEMENTARY FOOD
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  MODERATE TOTAL=E+F+H+I+J
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  MODERATE TRANSFERRED OUT J
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  NON RECOVERED  TREATMENT FAILURE  I
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  RECOVERED  TRANSITIONED  E
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  TOTAL AT THE END OF THE MONTH
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  TOTAL AT THE MONTH
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  TOTAL AT THE START OF THE MONTH
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  TOTAL WHO RECEIVED THERAPEUTIC AND OR SUPPLEMENTARY FOOD
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  TOTAL=E+F+H+I+J
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM  TRANSFERRED OUT J
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM MODERATE DIED H
DHIS,PREGNANT LACTATING WOMEN  UP TO 6 MONTHS POST PARTUM MODERATE TOTAL AT THE START OF THE MONTH
DHIS,PT AMPUTATIONS
DHIS,PT ARTHRITIS
DHIS,PT ARTHROGLYPOSIS
DHIS,PT BACK PAIN
DHIS,PT BELLS PALSY
DHIS,PT BENZY GENTA AMOX
DHIS,PT BURNS
DHIS,PT CARDIOVASCULAR ACCIDENT STROKE
DHIS,PT CEREBRAL PALSY
DHIS,PT CONTRIMOXALE
DHIS,PT FRACTURES
DHIS,PT HEAD INJURY
DHIS,PT MASCULAR DYSTROPHY
DHIS,PT MUSCULAR SKELETAL PAIN
DHIS,PT OTHER
DHIS,PT PARAPARESIS
DHIS,PT PARKINSON
DHIS,PT PERIPHERAL NEUROPATHY
DHIS,PT PNEUMONIA OTHER
DHIS,PT SEVERE PNEUMONIA BENZYL AMOXICILLIN
DHIS,PT SEVERE PNEUMONIA OTHER
DHIS,PT SOFT TISSUE INJURIES
DHIS,PT SPINAL BUFIDA
DHIS,PT SPINAL CORD LESSIONS
DHIS,PT TALIPES
DHIS,PT TB SPINE
DHIS,PT VERY SEVERE PNEUMONIA CHHLORAMPHENICOL
DHIS,PT VERY SEVERE PNEUMONIA OTHER
DHIS,RABIES ADMISSION
DHIS,RABIES INPATIENT DEATH
DHIS,RADIOGRAPHY TECHN IN POST
DHIS,RADIOLOGISTS IN POSTS
DHIS,REGISTERED NURSES IN POST
DHIS,RUTF ADMISSIONS
DHIS,RUTF DELIVERIES RECEIVED IN THE MONTH
DHIS,RUTF PACKAGING AND UNIT
DHIS,RUTF QUANTITY DISTRIBUTED TO BENEFICIARIES
DHIS,RUTF QUANTITY LOST
DHIS,RUTF QUANTITY USED FOR COOKING DEMONSTRATION
DHIS,RUTF REQUEST FOR THE FOLLOWING MONTH
DHIS,RUTF STOCK ON FIRST DAY OF THE MONTH
DHIS,RUTF STOCK ON LAST DAY OF THE MONTH
DHIS,SC AMOUNT OF FUNDS RECEIVED FOR DEWORMING
DHIS,SC BILHAZIA MASS DRUG ADMINISTRATION CONDUCTED
DHIS,SC NO OF BILHAZIA CASES IN A MONTH
DHIS,"SC NO OF DRUGS RECEIVED  PRAZEQUANTEL "
DHIS,SC NO OF DRUGS REMAINING
DHIS,SC NO OF DRUGS USED
DHIS,SC NO OF FEMALE CASES
DHIS,SC NO OF HEALTH WORKERS TRAINED
DHIS,SC NO OF MALE CASES
DHIS,SC NO OF NON SCHOOL GOING CHILDREN WHO RECEIVED THE DRUGS
DHIS,SC NO OF PUPILS WHO REPORTED THE SIDE EFFECTS
DHIS,SC NO OF SCHOOL GOING CHILDREN IN THE DISTRICT
DHIS,SC NO OF SCHOOL GOING CHILDREN REGISTERED
DHIS,SC NO OF SCHOOL GOING CHILDREN WHO RECEIVED THE DRUGS
DHIS,SC NO OF SUPERVISORS FOR THE DEWORMING EXERCISE
DHIS,SC NO OF TRAININGS CONDUCTED FOR LOCAL LEADERS
DHIS,SC NO OF TRAININGS CONDUCTED FOR TEACHERS
DHIS,SC SOCIAL MOBILIZATION CAMPAIGNS CONDUCTED
DHIS,SC TRAININGS CONDUCTED FOR HEALTH WORKERS
DHIS,SC TYPE OF SIDE EFFECTS REPORTED
DHIS,SCABIES ADMISSION
DHIS,SCABIES INPATIENT DEATH
DHIS,SCABIES NEW
DHIS,SDC ON ART RIC IN 12 MONTHS
DHIS,SDC STARTED ON ART
DHIS,SDC STARTED ON ART BASED ON SDC AS ELIGIBILITY
DHIS,SEXUALLY ACTIVE POPULATION
DHIS,SEXUALLY TRANSMITTED INFECTIONS # FILM SHOWS
DHIS,SEXUALLY TRANSMITTED INFECTIONS # OF COMMUNITY MEETINGS COMMEMORATION DAYS
DHIS,SEXUALLY TRANSMITTED INFECTIONS # OF INTERACTIVE DRAMA SESSIONS
DHIS,SEXUALLY TRANSMITTED INFECTIONS # ROAD SHOWS
DHIS,SEXUALLY TRANSMITTED INFECTIONS ADMISSION
DHIS,SEXUALLY TRANSMITTED INFECTIONS DISTRICT HOSPITAL
DHIS,SEXUALLY TRANSMITTED INFECTIONS FLIPCHAT
DHIS,SEXUALLY TRANSMITTED INFECTIONS HEALTH CENTRE
DHIS,SEXUALLY TRANSMITTED INFECTIONS HEALTH POST
DHIS,SEXUALLY TRANSMITTED INFECTIONS INPATIENT DEATH
DHIS,SEXUALLY TRANSMITTED INFECTIONS LEAFLETS
DHIS,SEXUALLY TRANSMITTED INFECTIONS NONE
DHIS,SEXUALLY TRANSMITTED INFECTIONS OTHER
DHIS,SEXUALLY TRANSMITTED INFECTIONS POSTRES
DHIS,SEXUALLY TRANSMITTED INFECTIONS RURAL COMM HOSP
DHIS,SEXUALLY TRANSMITTED INFECTIONS TOTAL# PROVIDED IN THIS QUARTER
DHIS,SEXUALLY TRANSMITTED INFECTIONS TV DVDS
DHIS,SFP 6 59 MONTHS
DHIS,SFP 60 MONTHS <12 YEARS
DHIS,SFP CHECKED BY
DHIS,SFP CHILD HIV SERO STATUS
DHIS,SFP CHILDREN ON ART
DHIS,SFP CHILDREN REFERRED FOR HTC
DHIS,SFP CHILDREN TESTED FOR HIV
DHIS,SFP COMMENTS ON PERFOMANCE INDICATORS
DHIS,SFP EXPOSED CHILDREN ON ART
DHIS,SFP FOLLOW UP NRU OTP
DHIS,SFP LACTATING
DHIS,SFP LW SEROSTATUS
DHIS,SFP MATERNAL HIV SERO STATUS
DHIS,SFP MEAN LENGTH OF STAY
DHIS,SFP NEW ADMISSIONS BY GENDER
DHIS,SFP NUMBER OF RELAPSES
DHIS,SFP NUMBER OF TWIN CHILDREN
DHIS,SFP OTHER
DHIS,SFP PREGNANT
DHIS,SFP PREPARED BY
DHIS,SFP PW LW REFERRED FOR HTC
DHIS,SFP PW LW TESTED FOR HIV
DHIS,SFP PW SEROSTATUS
DHIS,SG ABSCESS
DHIS,SG ALL DENTAL SURGICAL CONDITIONS
DHIS,SG ALL EAR NOSE AND THROAT
DHIS,SG ALL OPHTHALMIC CONDITIONS
DHIS,SG ALL ORTHOPEDIC CASES
DHIS,SG ALL ROAD TRAFFIC INJURIES
DHIS,SG ALL UROLOGICAL CONDITIONS
DHIS,SG APPENDICITIS
DHIS,SG BED OCCUPANCY RATE
DHIS,SG BED TURN OVER
DHIS,SG BOWEL OBSTRUCTION
DHIS,SG BURNS 1ST DEGREE
DHIS,SG BURNS 2ND DEGREE
DHIS,SG BURNS 3RD DEGREE
DHIS,SG CONGENITAL MALFORMATIONS
DHIS,SG GASTRO INTESTINAL BLEEDING
DHIS,SG GENERAL ASSAULT INJURIES
DHIS,SG HERNIA
DHIS,SG IN PATIENT DAYS
DHIS,SG NUM OF REPORTD NON FUNCTIONAL MED EQUIP LASTING >7DAYS
DHIS,SG NUM OF REPORTED KEY MEDICAL SUPPLIES STOCK OUTS OF > 7 DAYS
DHIS,SG NUM OF REPORTED KEY MEDICINES STOCK OUTS OF > 7 DAYS
DHIS,SG OCCUPATIONAL RELATED INJURIES
DHIS,SG OPD TOTAL ATTENDANCE
DHIS,SG OSTEOMYELITIS
DHIS,SG PEPTIC ULCERS DISEASE
DHIS,SG PERFORATED STOMACH
DHIS,SG RAUMA CHEST AND ABDOMEN INJURIES
DHIS,SG TOT NUM OF PATIENTS OPERATED ON WITHIN 7 DAYS
DHIS,SG TOT NUM OF PATIENTS SEEN BY SPECIALIST WITHIN 4 WKS
DHIS,SG TOTAL NUMBER OF ADMISSIONS FROM ALL CAUSES
DHIS,SG TOTAL NUMBER OF DISCHARGES
DHIS,SG TOTAL NUMBER OF IN PATIENT DEATHS
DHIS,SG TOTAL NUMBER OF OPERATIONS
DHIS,SG TRAUMA HEAD INJURIES
DHIS,SG TRAUMA INJURIES OF EXTREMITIES
DHIS,SG TRAUMA SPINAL INJURIES
DHIS,SG TRAUMATIC CONDITIONS
DHIS,SG TUMORS
DHIS,SH CHECKED BY
DHIS,SH CSB LIKUNIL STOCKOUT WITHIN THE MONTH
DHIS,SH DSM
DHIS,SH DSM STOCK OUT WITHIN THE MONTH
DHIS,SH F100
DHIS,SH F100 STOCK OUT WITHIN THE MONTH
DHIS,SH F75
DHIS,SH F75 STOCK OUT WITHIN THE MONTH
DHIS,SH LIKUNI PHALA CSB
DHIS,SH MAIZE MEAL
DHIS,SH MAIZE MEAL STOCKOUT WITHIN THE MONTH
DHIS,SH NO OF CARE TAKERS OF TFC
DHIS,SH NO OF CHILDREN NRU
DHIS,SH NO OF CHILDREN OTP
DHIS,SH NO OF CHILDREN SFP
DHIS,SH NO OF OUTREACH CLINICS
DHIS,SH NO OF PREGNANT LACTATING WOMEN
DHIS,SH OIL
DHIS,SH OIL STOCKOUT WITHIN THE MONTH
DHIS,SH OTHER
DHIS,SH PREPARED BY
DHIS,SH PULSES
DHIS,SH PULSES STOCK OUT WITHIN THE MONTH
DHIS,SH REASONS FOR LOSS
DHIS,SH RESOMAL
DHIS,SH RESOMAL STOCKOUT WITHIN THE MONTH
DHIS,SH RICE
DHIS,SH RICE STOCKOUT WITHIN THE MONTH
DHIS,SH RUTF PLUMPY NUT
DHIS,SH RUTF PLUMPY STOCK OUT WITHIN THE MONTH
DHIS,SH SUGAR
DHIS,SH SUGAR STOCK OUT WITHIN THE MONTH
DHIS,SHN AVAILABILITY OF SHN ACTIVITIES IN DIP
DHIS,SHN AVAILABILTY OF POLICY PROTOCOLS & GUIDELINE
DHIS,SHN FREQUENCY OF DRUG SUPPLY IN THE SCHOOL
DHIS,SHN NO OF CHILDREN DEWORMED
DHIS,SHN NO OF CHILDREN PHYSICALLY EXAMINED THIS MONTH
DHIS,SHN NO OF CHILDREN REFERRED FOR FURTHER SERVICES
DHIS,SHN NO OF CHILDREN REFERRED FOR IMMUNIZATION
DHIS,SHN NO OF COMMUNITIES WITH ACTIVE COMMUNITY PARTICIPATION IN SHN ACTIVITIES
DHIS,SHN NO OF HE SESSION CONDUCTED ON TOPICS RELATED HEALTH & NUTRITION
DHIS,SHN NO OF IN SERVICE EDUCATION SESSIONS CONDUCTED FOR HEALTH WORKERS
DHIS,SHN NO OF IN SERVICE EDUCATION SESSIONS CONDUCTED FOR TEACHERS
DHIS,SHN NO OF MEETINGS CONDUCTED TO REVIEW PROGRESS OF SHN INTERVENTIONS AT DISTRICT & SCHOOL LEVEL
DHIS,SHN NO OF NURSES PROVIDING SHN SERVICES
DHIS,SHN NO OF PROVIDERS WITH A RELIABLE MEANS OF TRANSPORT
DHIS,SHN NO OF PUPILS COUNSELLED
DHIS,"SHN NO OF PUPILS RECEIVED MICRONUTRIENT SUPPLEMENTATION  FS VIT A "
DHIS,SHN NO OF PUPILS TREATED FOR COMMON INJURIES AT SCHOOL
DHIS,SHN NO OF PUPILS TREATED FOR MINOR AILMENTS
DHIS,SHN NO OF PUPILS WHO HAD BREAKFAST BEFORE GOING TO SCHOOLS
DHIS,SHN NO OF PUPILS WITH SCHOOL MEALS
DHIS,SHN NO OF RESEARCH SURVEYS CONDUCTED
DHIS,SHN NO OF SCHOOL WITH PROPERLY DOCUMENTED DATA
DHIS,SHN NO OF SCHOOLS IN THE DISTRICT NURSERY
DHIS,SHN NO OF SCHOOLS IN THE DISTRICT PRESCHOOL
DHIS,SHN NO OF SCHOOLS IN THE DISTRICT PRIMARY
DHIS,SHN NO OF SCHOOLS IN THE DISTRICT SECONDARY
DHIS,SHN NO OF SCHOOLS PROVIDING SHN SERVICES
DHIS,SHN NO OF SCHOOLS REPORTING IN TIME
DHIS,SHN NO OF SCHOOLS SUPERVISED BY THE DISTRICT TEAMS IN THIS MONTH
DHIS,SHN NO OF SCHOOLS WITH FUNCTIONAL FIRST AID KIT
DHIS,SHN NO OF SCHOOLS WITH FUNCTIONAL SHN COMMITTES
DHIS,SHN NO OF SCHOOLS WITH HAND WASHING FACILITIES
DHIS,SHN NO OF SCHOOLS WITH PROPER TOILETS
DHIS,SHN NO OF SCHOOLS WITH SAFE GROUNDS & BUILDINGS
DHIS,SHN NO OF SCHOOLS WITH SAFE WATER SUPPLIES
DHIS,SHN NO OF SCHOOLS WITH SCHOOL GARDENS
DHIS,SHN NOOF SCHOOLS WITH TEACHERS TRAINED IN SHN SERVICES
DHIS,SHN NOOF SCHOOLS WITH TRAINED FIRST AIDERS
DHIS,SK ACNE VULGARIS
DHIS,SK ACTINIC SOLAR KERATOSIS
DHIS,SK ALBINISM
DHIS,SK ATOPIC DEMATITIS
DHIS,SK BASAL CELL CARINOMA
DHIS,SK CHICKEN POX
DHIS,SK CONTACT DERMATITIS
DHIS,SK ECTHYMA
DHIS,SK ERYTHEMA MULTFOME
DHIS,SK FIXED DRUG ERRUPTION
DHIS,SK HERPES SIMPLEX
DHIS,SK HERPES ZOOSTER
DHIS,SK IMPETIGO
DHIS,SK INSECT BITES
DHIS,SK KARPOSIS SARCOMA
DHIS,SK KERATO ACANTHOMA
DHIS,SK LEPROSY
DHIS,SK LICHEN PLANUS
DHIS,SK LICHEN SIMPLEX
DHIS,SK MILIARIA
DHIS,SK MOLLUSCUM CONTAGIOSUM
DHIS,SK NEURO DERMATITIS
DHIS,SK NUMBER OF CASES ADMITTED
DHIS,SK NUMBER OF CASES ADMITTED AGE
DHIS,SK NUMBER OF CASES DISCHARGED
DHIS,SK NUMBER OF CASES DISCHARGED AGE
DHIS,SK NUMBER OF OPD CASES SEEN
DHIS,SK NUMBER OF OPD CASES SEEN AGE
DHIS,SK OTHER
DHIS,SK OTHER BACTERIAL INFECTION
DHIS,SK OTHER FUNGUS
DHIS,SK OTHER PHOTODERMATOSES
DHIS,SK OTHER STDS
DHIS,SK OTHER TYPES OF ECZEMA
DHIS,SK OTHER VIRAL INFECTIONS
DHIS,SK PHOTOSENSITIVE ECZEMA
DHIS,SK PITYRIASIS ROSEA
DHIS,SK PRURIGO PRURITIS
DHIS,SK PSORIASIS
DHIS,SK PYTYRIASIS VERSICOLOR
DHIS,SK SCABIES
DHIS,SK SEBORRHOEIC DERMATITIS
DHIS,SK SQUAMOUS CELL CARCINOMA
DHIS,SK STEVEN JOHNSTON SYNDROME
DHIS,SK SUNBURN
DHIS,SK SYPHILIS
DHIS,SK TINEA CAPITIS
DHIS,SK TINEA CORPORIS
DHIS,SK TINEA PEDIS
DHIS,SK TOXIC EPIDERMAL NECROLYSIS
DHIS,SK URTICARIA
DHIS,SK VIITILIGO
DHIS,SK WARTS
DHIS,SS DELIVERIES RECEIVED IN MONTH DSM
DHIS,SS DELIVERIES RECEIVED IN MONTH F100
DHIS,SS DELIVERIES RECEIVED IN MONTH F75
DHIS,SS DELIVERIES RECEIVED IN MONTH LIKUNI PHALA
DHIS,SS DELIVERIES RECEIVED IN MONTH MAIZE MEAL
DHIS,SS DELIVERIES RECEIVED IN MONTH OIL
DHIS,SS DELIVERIES RECEIVED IN MONTH PLUMPYNUT
DHIS,SS DELIVERIES RECEIVED IN MONTH PULSES
DHIS,SS DELIVERIES RECEIVED IN MONTH RUTF
DHIS,SS DELIVERIES RECEIVED IN MONTH SUGAR
DHIS,SS NUMBER OF CHILDREN OF THERAPEUTIC FEEDING CHILDREN FEMALE
DHIS,SS NUMBER OF CHILDREN OF THERAPEUTIC FEEDING CHILDREN MALE
DHIS,SS QUANTITY FOR COOKING DEMONSTRATIONS DSM
DHIS,SS QUANTITY FOR COOKING DEMONSTRATIONS F100
DHIS,SS QUANTITY FOR COOKING DEMONSTRATIONS F75
DHIS,SS QUANTITY FOR COOKING DEMONSTRATIONS LIKUNI PHALA
DHIS,SS QUANTITY FOR COOKING DEMONSTRATIONS MAIZE MEAL
DHIS,SS QUANTITY FOR COOKING DEMONSTRATIONS OIL
DHIS,SS QUANTITY FOR COOKING DEMONSTRATIONS PLUMPYNUT
DHIS,SS QUANTITY FOR COOKING DEMONSTRATIONS PULSES
DHIS,SS QUANTITY FOR COOKING DEMONSTRATIONS RUTF
DHIS,SS QUANTITY FOR COOKING DEMONSTRATIONS SUGAR
DHIS,SS QUANTITY LOST DSM
DHIS,SS QUANTITY LOST F100
DHIS,SS QUANTITY LOST F75
DHIS,SS QUANTITY LOST LIKUNI PHALA
DHIS,SS QUANTITY LOST MAIZE MEAL
DHIS,SS QUANTITY LOST OIL
DHIS,SS QUANTITY LOST PLUMPYNUT
DHIS,SS QUANTITY LOST PULSES
DHIS,SS QUANTITY LOST RUFT
DHIS,SS QUANTITY LOST SUGAR
DHIS,SS REQUEST FOR THE FOLLOWING MONTH DSM
DHIS,SS REQUEST FOR THE FOLLOWING MONTH F100
DHIS,SS REQUEST FOR THE FOLLOWING MONTH F75
DHIS,SS REQUEST FOR THE FOLLOWING MONTH LIKUNI PHALA
DHIS,SS REQUEST FOR THE FOLLOWING MONTH MAIZE MEAL
DHIS,SS REQUEST FOR THE FOLLOWING MONTH OIL
DHIS,SS REQUEST FOR THE FOLLOWING MONTH PLUMPYNUT
DHIS,SS REQUEST FOR THE FOLLOWING MONTH PULSES
DHIS,SS REQUEST FOR THE FOLLOWING MONTH RUTF
DHIS,SS REQUEST FOR THE FOLLOWING MONTH SUGAR
DHIS,SS STOCK ON FIRST DAY OF MONTH DSM
DHIS,SS STOCK ON FIRST DAY OF MONTH F100
DHIS,SS STOCK ON FIRST DAY OF MONTH F75
DHIS,SS STOCK ON FIRST DAY OF MONTH LIKUNI PHALA
DHIS,SS STOCK ON FIRST DAY OF MONTH MAIZE MEAL
DHIS,SS STOCK ON FIRST DAY OF MONTH OIL
DHIS,SS STOCK ON FIRST DAY OF MONTH PLUMPYNUT
DHIS,SS STOCK ON FIRST DAY OF MONTH PULSES
DHIS,SS STOCK ON FIRST DAY OF MONTH RUTF
DHIS,SS STOCK ON FIRST DAY OF MONTH SUGAR
DHIS,SS STOCK ON LAST DAY OF THE MONTH DSM
DHIS,SS STOCK ON LAST DAY OF THE MONTH F100
DHIS,SS STOCK ON LAST DAY OF THE MONTH F75
DHIS,SS STOCK ON LAST DAY OF THE MONTH LIKUNI PHALA
DHIS,SS STOCK ON LAST DAY OF THE MONTH MAIZE MEAL
DHIS,SS STOCK ON LAST DAY OF THE MONTH OIL
DHIS,SS STOCK ON LAST DAY OF THE MONTH PLUMPYNUT
DHIS,SS STOCK ON LAST DAY OF THE MONTH PULSES
DHIS,SS STOCK ON LAST DAY OF THE MONTH RUTF
DHIS,SS STOCK ON LAST DAY OF THE MONTH SUGAR
DHIS,STI 0 19 YEARS
DHIS,STI 20 24 YEARS
DHIS,STI 25 YEARS OR OLDER
DHIS,STI AVD DIAGNOSIS HIGH RISK
DHIS,STI AVD DIAGNOSIS LOW RISK
DHIS,STI BA DIAGNOSIS
DHIS,STI BENZATHINE PENICILLIN
DHIS,STI BU DIAGNOSIS
DHIS,STI CLIENT TYPE INDEX CASES
DHIS,STI CLIENT TYPE PARTNERS ASYMPTOMATIC
DHIS,STI CLIENT TYPE PARTNERS SYMPTOMATIC
DHIS,STI DOXYCYCLIN
DHIS,STI GENTAMYCIN
DHIS,STI GENTIAL WARTS DIAGNOSIS
DHIS,STI GUD DIAGNOSIS
DHIS,STI HIV TEST NEW NEGATIVE
DHIS,STI HIV TEST NEW POSITIVE
DHIS,STI HIV TEST NOT DONE
DHIS,STI HIV TEST PREVIOUS POSITIVE NOT ON ART
DHIS,STI HIV TEST PREVIOUS POSITIVE ON ART
DHIS,STI LAP DIAGNOSIS
DHIS,STI METRONIDAZOLE
DHIS,STI NC DIAGNOSIS
DHIS,STI OTHER DIAGNOSIS
DHIS,STI PARTNER SLIPS GIVEN
DHIS,"STI REFERRED FOR ART  FOR ASSESSMENT "
DHIS,STI REFERRED FOR GYNAE REVIEW SERVICES
DHIS,STI REFERRED FOR LAB SERVICES
DHIS,STI REFERRED FOR OTHER SERVICES
DHIS,STI REFERRED FOR PMTCT SERVICES
DHIS,STI REFERRED FOR REPEAT HTC SERVICES
DHIS,STI REFERRED FOR SURGICAL REVIEW SERVICES
DHIS,STI SS DIAGNOSIS
DHIS,STI SYPHILIS PRP VDRL DIAGNOSIS
DHIS,STI TESTED MALES
DHIS,STI TESTED NON PREGNANT FEMALES
DHIS,STI TESTED PREGNANT FEMALES
DHIS,STI TREATMENT NEVER
DHIS,STI TREATMENT OLD > 3 MONTHS AGO
DHIS,STI TREATMENT RECENT <= 3 MONTHS
DHIS,STI UD DIAGNOSIS
DHIS,SURGEON
DHIS,TBCF EPTB 0 4 F
DHIS,TBCF EPTB 0 4 M
DHIS,TBCF EPTB 15 24 F
DHIS,TBCF EPTB 15 24 M
DHIS,TBCF EPTB 25 34 F
DHIS,TBCF EPTB 25 34 M
DHIS,TBCF EPTB 35 44 F
DHIS,TBCF EPTB 35 44 M
DHIS,TBCF EPTB 45 54 F
DHIS,TBCF EPTB 45 54 M
DHIS,TBCF EPTB 5 14 F
DHIS,TBCF EPTB 5 14 M
DHIS,TBCF EPTB 55 64 F
DHIS,TBCF EPTB 55 64 M
DHIS,TBCF EPTB 65+ F
DHIS,TBCF EPTB 65+ M
DHIS,TBCF NEW PUL MTB + XPERT  0 4 F
DHIS,TBCF NEW PUL MTB + XPERT  0 4 M
DHIS,TBCF NEW PUL MTB + XPERT  15 24 F
DHIS,TBCF NEW PUL MTB + XPERT  15 24 M
DHIS,TBCF NEW PUL MTB + XPERT  25 34 F
DHIS,TBCF NEW PUL MTB + XPERT  25 34 M
DHIS,TBCF NEW PUL MTB + XPERT  35 44 F
DHIS,TBCF NEW PUL MTB + XPERT  35 44 M
DHIS,TBCF NEW PUL MTB + XPERT  45 54 F
DHIS,TBCF NEW PUL MTB + XPERT  45 54 M
DHIS,TBCF NEW PUL MTB + XPERT  5 14 F
DHIS,TBCF NEW PUL MTB + XPERT  5 14 M
DHIS,TBCF NEW PUL MTB + XPERT  55 64 F
DHIS,TBCF NEW PUL MTB + XPERT  55 64 M
DHIS,TBCF NEW PUL MTB + XPERT  65+ F
DHIS,TBCF NEW PUL MTB + XPERT  65+ M
DHIS,TBCF OTHER 0 4 F
DHIS,TBCF OTHER 0 4 M
DHIS,TBCF OTHER 15 24 F
DHIS,TBCF OTHER 15 24 M
DHIS,TBCF OTHER 25 34 F
DHIS,TBCF OTHER 25 34 M
DHIS,TBCF OTHER 35 44 F
DHIS,TBCF OTHER 35 44 M
DHIS,TBCF OTHER 45 54 F
DHIS,TBCF OTHER 45 54 M
DHIS,TBCF OTHER 5 14 F
DHIS,TBCF OTHER 5 14 M
DHIS,TBCF OTHER 55 64 F
DHIS,TBCF OTHER 55 64 M
DHIS,TBCF OTHER 65+ F
DHIS,TBCF OTHER 65+ M
DHIS,TBCF SMEAR NEGATIVE PULMONARY 0 4 F
DHIS,TBCF SMEAR NEGATIVE PULMONARY 0 4 M
DHIS,TBCF SMEAR NEGATIVE PULMONARY 15 24 F
